Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:local:Post+Malone:August+26:Post+Malone+-+Never+Understand:217,"Post Malone - Never Understand","August 26","Post Malone",,217000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:32:53Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Other:Post+Malone+-+What%27s+Up+Feat.+1st:290,"Post Malone - What's Up Feat. 1st","Post Malone - Other","Post Malone",,290000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:33:12Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Unreleased:Post+Malone+-+Easier+-+Unreleased:197,"Post Malone - Easier - Unreleased","Post Malone - Unreleased","Post Malone",,197000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:33:29Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Unreleased:Post+Malone+-+Maintain+-+Unreleased:235,"Post Malone - Maintain - Unreleased","Post Malone - Unreleased","Post Malone",,235000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:34:42Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Unreleased:Post+Malone+-+Spaceships+On+Sunsets+ft.+Trae+Tha+Truth+-+Unreleased:270,"Post Malone - Spaceships On Sunsets ft. Trae Tha Truth - Unreleased","Post Malone - Unreleased","Post Malone",,270000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:35:32Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Unreleased:Post+Malone+-+Stoned+-+Unreleased:208,"Post Malone - Stoned - Unreleased","Post Malone - Unreleased","Post Malone",,208000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:35:35Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+unreleased:Post+Malone+-+Stuntin%27+-+Unreleased:116,"Post Malone - Stuntin' - Unreleased","Post Malone - unreleased","Post Malone",,116000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:35:43Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Unreleased:Post+Malone+-+Holyfield+-+Unreleased:259,"Post Malone - Holyfield - Unreleased","Post Malone - Unreleased","Post Malone",,259000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:36:11Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Unreleased:Post+Malone+-+Dont+Make+Me+-+Unreleased:188,"Post Malone - Dont Make Me - Unreleased","Post Malone - Unreleased","Post Malone",,188000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:36:23Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Unreleased:Post+Malone+-+Never+Change+-+Unreleased:214,"Post Malone - Never Change - Unreleased","Post Malone - Unreleased","Post Malone",,214000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:36:32Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Unreleased:Post+Malone+-+Socialite+Ft+Swae+Lee+-+Unreleased:168,"Post Malone - Socialite Ft Swae Lee - Unreleased","Post Malone - Unreleased","Post Malone",,168000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:36:36Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Unreleased:Post+Malone+-+Take+My+Heart+-+Unreleased:207,"Post Malone - Take My Heart - Unreleased","Post Malone - Unreleased","Post Malone",,207000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:36:39Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Unreleased:Post+Malone+-+TEAR%24+-+Unreleased:242,"Post Malone - TEAR$ - Unreleased","Post Malone - Unreleased","Post Malone",,242000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:37:22Z,"","undefined",,,,,,,,,,,,
